Type,Image ID,Correct QA,Total QA,Accuracy
Horizontal,8080,16,28,57.1429
Horizontal,5575,16,28,57.1429
Horizontal,6512,16,28,57.1429
Horizontal,7509,16,28,57.1429
Horizontal,5600,16,28,57.1429
Horizontal,9419,16,28,57.1429
Horizontal,7916,12,21,57.1429
Horizontal,14532,17,30,56.6667
Horizontal,12226,17,30,56.6667
Horizontal,15864,13,23,56.5217
Horizontal,16002,13,23,56.5217
Horizontal,15030,13,23,56.5217
Horizontal,15407,13,23,56.5217
Horizontal,16611,13,23,56.5217
Horizontal,16009,13,23,56.5217
Horizontal,16754,13,23,56.5217
Horizontal,15998,13,23,56.5217
Horizontal,15315,13,23,56.5217
Horizontal,15736,13,23,56.5217
Horizontal,15209,13,23,56.5217
Horizontal,15149,13,23,56.5217
Horizontal,16496,13,23,56.5217
Horizontal,16005,13,23,56.5217
Horizontal,16382,13,23,56.5217
Horizontal,15405,13,23,56.5217
Horizontal,15257,13,23,56.5217
Horizontal,15728,13,23,56.5217
Horizontal,15925,13,23,56.5217
Horizontal,16719,13,23,56.5217
Horizontal,15756,13,23,56.5217
Horizontal,15206,13,23,56.5217
Horizontal,16323,13,23,56.5217
Horizontal,15907,13,23,56.5217
Horizontal,16750,13,23,56.5217
Horizontal,10194,9,16,56.25
Horizontal,5691,9,16,56.25
Horizontal,8107,9,16,56.25
Horizontal,7929,9,16,56.25
Horizontal,7579,15,27,55.5556
Horizontal,13256,10,18,55.5556
Horizontal,6246,15,27,55.5556
Horizontal,6704,15,27,55.5556
Horizontal,6651,15,27,55.5556
Horizontal,5845,15,27,55.5556
Horizontal,10267,16,29,55.1724
Horizontal,12281,16,29,55.1724
Horizontal,10682,16,29,55.1724
Horizontal,9154,16,29,55.1724
Horizontal,14119,16,29,55.1724
Horizontal,13448,16,29,55.1724
Horizontal,10419,16,29,55.1724
Horizontal,13498,16,29,55.1724
Horizontal,14760,16,29,55.1724
Horizontal,10211,16,29,55.1724
Horizontal,11435,16,29,55.1724
Horizontal,14271,16,29,55.1724
Horizontal,11009,16,29,55.1724
Horizontal,8998,16,29,55.1724
Horizontal,8075,16,29,55.1724
Horizontal,12716,16,29,55.1724
Horizontal,13353,16,29,55.1724
